ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,PURCHASE COUNTRY,COLLECTION_DATE,INVESTIGATION TYPE
1732,Food-Spice,Takis Fuego,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,UNITED STATES,07/31/2016 12:00:00 AM,C
1733,Toys/Children's Products,Toy NY Taxi,Lead,-1,ppm,Shing Fat Ltd,CHINA,UNITED STATES,08/01/2016 00:00,S
1734,Food-Spice,Chili Powder,Lead,56,ppm,UNKNOWN OR NOT STATED,PAKISTAN,PAKISTAN,08/02/2016 00:00,C
1735,Cosmetics,Surma,Lead,960000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,PAKISTAN,08/02/2016 00:00,C
1736,Food-Spice,Pilau  Biryani Seasoning,Lead,-1,ppm,Shan,UNITED STATES,UNITED STATES,08/02/2016 00:00,C
1737,Dietary Supplement/Medications/Remedy,Cordial,Lead,-1,ppm,UNKNOWN OR NOT STATED,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,08/03/2016 00:00,C
1738,Cosmetics,Baby powder,Lead,0.62,ppm,Johnson & Johnson,UNITED STATES,UNITED STATES,08/03/2016 00:00,C
1739,Dietary Supplement/Medications/Remedy,Metamizol Sofico Jarabe,Arsenic,-1,ppm,"DEGORT'S CHEMICAL, S.A. DE C.V.",MEXICO,MEXICO,08/04/2016 00:00,C
1740,Dietary Supplement/Medications/Remedy,Metamizol Sofico Jarabe,Lead,-1,ppm,"DEGORT'S CHEMICAL, S.A. DE C.V.",MEXICO,MEXICO,08/04/2016 00:00,C
1741,Dietary Supplement/Medications/Remedy,Metamizol Sofico Jarabe,Mercury,-1,ppm,"DEGORT'S CHEMICAL, S.A. DE C.V.",MEXICO,MEXICO,08/04/2016 00:00,C
1742,Jewelry,Hoop earring,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,08/05/2016 00:00,C
1743,Cosmetics,Mercury Antiseptic Soap,Mercury,-1,ppm,Ronmead Ltd. England,UNITED KINGDOM,UNITED STATES,08/05/2016 00:00,S
1744,Food-Spice,Turmeric,Lead,-1,ppm,Chief Brand Products,TRINIDAD AND TOBAGO,UNITED STATES,08/05/2016 00:00,S
1745,Cosmetics,Alumbre en Polvo (Alum Powder),Mercury,-1,ppm,Promeko Inc,UNITED STATES,UNITED STATES,08/05/2016 00:00,S
